112386669,barrie/ca/154980/1238832/112386669.html,Hampton Inn &amp; Suites by Hilton Barrie,"The suite was exceptional...spacious and comfortable. The staff, from front desk to housekeeping went out of their way to make my 5 night stay exactly what I needed. I travel in blocks of time and when I return to Barrie, I will definitely book back with the Hampton. Highly recommended.",5,positive
99145909,barrie/ca/154980/1238832/112386669.html,Hampton Inn &amp; Suites by Hilton Barrie,"This is what hotels should be like. Clean, large rooms, helpful staff, hot breakfast, coffee and cookies on tap, free high speed internet, nice furnishings and well equipped.  You don't pay for useless luxury BS but at the same time it doesn't feel cheap and nasty like say a Super 8. Stayed at the Monte Carlo inn in Barrie for one night, this place was cheaper and is so much better it's laughable.  Only gripe is the swarm of kids squarking across the hallways at 630am, where the heck are the parents? Oh and whilst the hot breakfast is appreciated, must we follow the USA and load everything with cheese?  Overall though, hard to go wrong here.",4,positive
97597588,barrie/ca/154980/1238832/112386669.html,Hampton Inn &amp; Suites by Hilton Barrie,"The room was beautiful and spacious, but the fan in the bathroom wouldn't shut off so we had to keep the bathroom door closed all the time. No big deal. Also, the hotel was completely packed for the Family Day long weekend, so that meant the parking at the hotel was hard to come by when we returned from dinner. That was understandable. The main issue was the breakfast. It was advertised as a hot breakfast buffet, which my party and I were excited about, but when we got downstairs, not only was there not nearly enough seating for a filled-to-capacity hotel, but they had run out of eggs and sausages at 9:30. Breakfast was slated to end at 10. My husband and I couldn't stand not having a place to sit at while eating the measley bagel we scrounged up amidst the dozens of people crammed in the breakfast area, so we went to Tim Horton's instead. So, on top of the exhorbitant rate for the room ($147 for the tubing pkg when we could have gone to the Comfort inn for $123), we had to pay for breakfast, too. Not too impressed.",3,negative
96239840,barrie/ca/154980/1238832/112386669.html,Hampton Inn &amp; Suites by Hilton Barrie,"I have been staying here off and on most weeks since the hotel opened in the spring of 2009. The rooms are great, always clean and the staff have made me feel like I'm at home. I am around enough to hear what others say and people seem overall very happy with their stay. I would, and have recommended this hotel to others. Keep up the good work.",5,positive
96025643,barrie/ca/154980/1238832/112386669.html,Hampton Inn &amp; Suites by Hilton Barrie,"Dear M, I just wanted to write a note of thanks to you and your staff for a wonderful weekend which we spent at your hotel. The facility was wonderful and the friendly staff and service was by far the best we have ever experienced. We have been getting together every year for the past 14 years and we have stayed at many different facilities and yours ranks #1. There was not one complaint from our group. The hours of your pool and hot tub area is great as well. Many facilities close their pool down earlier in the evening and we really appreciated being able to go to the hot tub for a quick relaxing time after 11:00 PM. The breakfast was great and all that we needed. We cannot say enough and in fact many of the group asked if we could come back there again next year. Thank you so much for the wonderful experience. We would recommend your facility to anyone who asked. K",5,positive
95527737,barrie/ca/154980/1238832/112386669.html,Hampton Inn &amp; Suites by Hilton Barrie,"Stayed here for two nights in Feb 2011. Great location near highway, clean, nice rooms, great breakfast (lots of options - hot and cold), modern and sexy bathroom! Could not ask for a better hotel. Highly recommended!",5,positive
89523849,barrie/ca/154980/1238832/112386669.html,Hampton Inn &amp; Suites by Hilton Barrie,"Spent a lot of time at this hotel in September and October while travelling to CFB Borden. This hotel is fairly new and is located conveniently right off the highway with a Tim Hortens and grocery store within walking distance. Staff were friendly and helpful.  The rooms are large and comfortable with large flat screen TV's and free WiFi. There are standard rooms and larger studio suites that have a sitting area. One downside is that mini fridges are only available in the studio suites. Suites also feature an extra large closet with full length mirrored doors, a separate room for tub and toilet. The sink area is a recessed alcove in the room. Makes it more convenient for sharing. I spent one night in an accessible room and while I don't require a room like that, it was the only one left for the night. I actually really enjoyed the walk in shower.  Breakfast is included and features a variety of options. There is always an egg and side dish, such as omelets and sausage, or scrambled eggs and hashbrowns. There are cereals, fruit, pastries, yoghurt, and a variety of breads for toasting. The warm tea biscuits were my particular favourite. If you don't have time to stop for breakfast you can take one of the brown bag breakfasts offered for those on the run. These include a bottle of water, a packaged muffin, granola bar and apple. Complimentary coffee, tea and hot chocolate is available 24 hours.  My spouse enjoyed the hot tub but I felt it was a little dirty. The pool was a nice size.  There is a smoking floor in this hotel. This hotel was very busy while I was travelling to this area and I once had to accept a smoking room. The staff did put an air purifier in the room while I was out for the afternoon, but that can't remove the smoke from the pillows and furniture. I am sure there are others who appreciate the smoking rooms, but for such a busy hotel, it would be nice to see it be smoke free.  This hotel offers very reasonable military rates which were much appreciated.",4,positive
114646926,barrie/ca/154980/1238832/114646926.html,Hampton Inn &amp; Suites by Hilton Barrie,"we stayed here with a team on June 10th & 11th and i have to say we had one of the best stays ever! We travel quite a bit with our sons Lacrosse team but this hotel is one of the best hotels by a landslide! The kids loved the pool and its late hours and we loved having breakfast included for everyone....saves us a ton on $$. Our housekeeper was such a doll and all the rooms i stepped into (other parents & team member rooms) were all spotless. I love that they wash the comforters for every guest THIS SHOULD BE STANDARD FOR EVERY HOTEL. They had a employee contest going on and i wanted to fill out a card but forgot so i figured this was the best way to express our delight! Keep it up, the kids cant wait to come back already!
 
 
 Room Tip:  Group Rates
 See more room tips",5,positive
114812995,barrie/ca/154980/1238832/114812995.html,Hampton Inn &amp; Suites by Hilton Barrie,"Great clean place to rest. The staff was excellent and the breakfast was an unexpected treat. In my 6 yr old son's words ""this is the best hotel ever!"". Very clean & the beds were quite comfortable. We have stayed in a few hotels in the couple of months & I really try to research each one before we book. This one lived up to the reviews and then some.",5,positive
114880594,barrie/ca/154980/1238832/114880594.html,Hampton Inn &amp; Suites by Hilton Barrie,"This hotel was built about 2 years ago, so it's very new and modern. I stayed in a suite with a nice king-size bed. The room was very clean, comfortable and modern.  The free breakfast buffet was excellent - especially the Belgian waffles that you made yourself!  If you're looking for a nice play to stay in Barrie, this is it. It's less than a ten minute drive to town and has a nice view from the hill.",5,positive
